page_url,img_url,movie_title,description,movie_type,genres,year,actors,director,imdb,kinopoisk
https://kinogo.uk/9073-deva-i-drakon-2024.html,kinogo.uk//uploads/mini/full/8a/afd93f08b408c6faf115c0a09732f2.jpg,Дева и дракон,"История начинается в мире, где фэнтези сталкивается с реальностью. Главная героиня - обычная девушка, которую обманом выдали замуж за принца. Однако ее новый ""сказочный"" брак оказывается ничем иным, как хитроумной ловушкой. Вместо того чтобы жить в роскоши и изобилии, она оказывается под стражей, предназначенной для ужасного кровожадного дракона. Но героиня не такая, какой ее представляют. Она отказывается принять свою судьбу без борьбы. Понимая, что на помощь не придет никто, она решает бежать. Ее смелость и решительность позволяют ей преодолеть страх и противостоять препятствиям на своем пути.В процессе своего побега она обнаруживает в себе силы, о которых раньше не подозревала. Она становится более уверенной в себе, обретая новые навыки и способности, которые помогают ей преодолеть все трудности на пути к свободе. Но самое важное, что она обнаруживает в себе, это веру в себя. Она понимает, что не нуждается в принце на белом коне, чтобы спасти себя. Ей нужна только ее смелость, упорство и решительность, чтобы освободиться от своих оков и начать новую жизнь.",Фильмы," Боевик , Приключения , Фэнтези",2024,"Милли Бобби Браун, Рэй Уинстон, Анджела Бассетт, Brooke Carter, Ник Робинсон, Робин Райт, Мило Твоми, Nicole Joseph, Патрис Найамбана, Улли Экерманн",Хуан Карлос Фреснадильо,6.3,6.4
https://kinogo.uk/6640-kung-fu-panda-4-2024.html,kinogo.uk//uploads/mini/full/2c/cb318f7d5965d5598b37c6bd9ed5a3.jpg,Кунг-фу Панда 4,"""Кунг-фу Панда 4"" - это очередная глава в захватывающей серии анимационных фильмов от DreamWorks Animation. Это четвертая часть популярной франшизы, которая продолжает удивительные приключения любимого героя - По, панда-воина, неотразимо привлекательного своей любовью к кунг-фу и неутолимым аппетитом. В этом новом приключении, По покидает уютную Долину Мира и отправляется в мир большого города, полный новых вызовов и возможностей. Городская жизнь представляет собой контраст для По, привыкшего к спокойной жизни в деревне, и он быстро осознает, что его умения будут поставлены на испытание как никогда ранее.Главным антагонистом в этой части является Хамелеон, могущественный злодей, обладающий способностью призывать врагов из прошлого По. Его уникальные способности и хитрость делают его серьезной угрозой для По и его друзей, и нашему герою придется приложить все усилия, чтобы победить его. Однако, несмотря на все трудности, По продолжает радовать зрителей своим оптимизмом и веселым чувством юмора. Его любовь к кунг-фу и его непрекращающийся аппетит продолжают быть важной частью его характера, делая его одним из самых обожаемых героев на большом экране.",Мультфильмы,,2024,"Анджелина Джоли, Джеки Чан, Сет Роген, Джек Блэк, Люси Лью, Дастин Хоффман, Дэвид Кросс","Майк Митчелл, Stephanie Stine",6.7,6.7
https://kinogo.uk/5783-djuna-2-2023.html,kinogo.uk//uploads/mini/full/39/269a87642056f7bb329bf2356e5470.jpg,Дюна: Часть вторая,"Готовы ли вы отправиться в приключение всей жизни? Отмеченная наградами классическая научно-фантастическая сага ""Дюна"" возвращается, и ее продолжение может стать еще более масштабным и смелым, чем когда-либо прежде! В ""Дюне 2"" речь пойдет о судьбе Пола Атрейдеса и его возлюбленной Чани, которые продолжат путешествие по планетам, сражаясь с могущественными врагами, такими как принцесса Ирулан Коррино, Шаддам IV и Фейд-Раута Харконнен. В новом эпическом фильме Дени Вильнёв поднимает планку, знакомя зрителей с ослепительными персонажами и добавляя захватывающие экшн-последовательности. Кроме того, поклонники не захотят пропустить наших культовых гигантских червей, появлявшихся в предыдущих частях фильма! Невероятные спецэффекты и завораживающие выступления Тимоте Чаламета, Зендайи, Флоренс Пью, Кристофера Уокена и Остина Батлера - вы не захотите пропустить все это действо.",Фильмы," Боевик , Драма , Приключения , Фантастика",2023,"Тимоти Шаламе, Ребекка Фергюсон, Зендея, Хавьер Бардем, Джош Бролин, Остин Батлер, Флоренс Пью, Дэйв Батиста, Леа Сейду, Стеллан Скарсгард",Дени Вильнёв,9.0,8.9
https://kinogo.uk/6185-avatar-poslednij-mag-vozduha-2022.html,kinogo.uk//uploads/mini/full/3d/0738e8230b8eeff18e158fcc0a6575.png,Аватар: Легенда об Аанге (1 сезон),"Добро пожаловать в мир ""Аватар: Последний маг воздуха""! Следуйте за Аангом и его отважными друзьями в их эпическом путешествии, чтобы спасти мир от разрушения и победить Народ Огня. Противостоя невозможным трудностям, эти маловероятные герои будут использовать свое мастерство владения водой, землей, огнем и воздухом, чтобы сразиться с могущественными силами зла в напряженном противостоянии добра и зла. От льдов Северного полюса до огненных пещер под Ба Синг Се, вы будете очарованы тем, как наши герои сражаются за сохранение своей культуры и предотвращение полного уничтожения мира. Этот захватывающий сериал сочетает в себе потрясающую анимацию и увлекательный сюжет в захватывающем приключении. Погрузитесь в мир, где боевые искусства, энергия стихий и необычные персонажи смешиваются вместе, чтобы получить незабываемые впечатления. Смотрите, как Аанг познает себя на этом коварном пути, узнает, что значит быть Аватаром, и в конце концов восстановит равновесие на разрушенной земле.",Сериалы,,2024,"Дэниэл Дэ Ким, Кен Люн, Тэмлин Томита, Пол Ли, Gordon Cormier, Киавентио, Ивонн Чепмен, Даллас Лю, Иэн Аусли, Elizabeth Yu","Майкл Гои, Розанна Лян, Джаббар Райсани",0.0,0.0
https://kinogo.uk/9474-territorija-zla-2024.html,kinogo.uk//uploads/mini/full/1d/6e5e4a96cd7b803ffb3b7dee17e9bd.jpg,Территория зла,"В центре нашего рассказа - человек по имени Рипер, оператор беспилотного летательного аппарата, или, как мы часто называем их, дрона. Рипер - профессионал своего дела, кто оказывает воздушную поддержку военнослужащим на земле. Однажды его команда попадает в опасную ситуацию, они оказываются в ловушке, окруженные невидимым врагом и оставленные без оружия. В этот момент их единственным спасением становится беспилотник Рипера, который становится их глазами в небе и единственной надеждой на спасение.Беспилотник не только предоставляет им важную информацию о местоположении врага, но и служит их единственным средством связи с внешним миром. Он помогает им ориентироваться, позволяет им видеть угрозы, которые они не могут увидеть с земли, и дает им шанс выжить в этой крайне опасной ситуации. Рипер, находясь за безопасной дистанцией, напряженно следит за каждым движением на экране своего устройства. Он знает, что от его действий зависят жизни его товарищей. С каждым новым обновлением на экране, он старается предсказать следующий ход врага и дать своей команде максимум информации для принятия решений.",Фильмы," Боевик , Криминал",2024,"Рассел Кроу, Майло Вентимилья, Лиам Хемсворт, Рики Уиттл, Люк Хемсворт, Дэниэл Макферсон, Ганнер Райт, Линкольн Льюис, Джои Виейра, Роберт Рабия",Уильям Юбэнк,6.5,6.3
https://kinogo.uk/9349-pustoshi-2024.html,kinogo.uk//uploads/mini/full/a2/802923e525a6fbcba2fa0cb28dece8.jpg,Пустоши,"Сеул, город с многовековой историей и культурой, столкнулся с несравненной катастрофой. Разрушительное землетрясение магнитудой 7,8 по шкале Рихтера полностью уничтожило этот живописный город. Здания были разрушены, дороги расколоты, а миллионы людей оказались без крова. Однако, даже в лице такой страшной трагедии, люди продолжали бороться за выживание. Спасатели работали круглосуточно, искавшие людей под обломками. Было много историй о чудесном спасении, включая историю о женщине, которую нашли живой спустя пять дней после землетрясения. Спустя неделю после катастрофы, тысячи людей все еще оставались без воды и электричества. Но даже в таких условиях, они не теряли надежды и продолжали искать информацию о своих родных и близких.В то же время, международное сообщество активно присоединялось к помощи. Страны со всего мира отправляли помощь в виде продовольствия, воды, медицинских принадлежностей и спасательных бригад. Это было трудное время для жителей Сеула и всей Южной Кореи. Но именно в эти моменты они продемонстрировали невероятную силу духа и способность выстоять перед лицом страшной трагедии. Их упорство и решимость продолжать бороться были воплощением настоящего человеческого духа, который не может быть сломлен даже самым разрушительным землетрясением.",Фильмы," Боевик , Фантастика",2024,"Ма Дон-сок, Ли Хи-джун, Ли Джун-ён, Но Джон-и, Ан Джи-хе, Ким Ён-сон",Хо Мён-хэн,6.0,6.2
https://kinogo.uk/8861-dogmen-2023.html,kinogo.uk//uploads/mini/full/a6/91c392474a4b837d7723d1b3e4cf1f.jpg,Догмен,"Наши истории полны персонажей, обладающих уникальными способностями, но наш главный герой отличается от всех. Он - Догмен, человек, который лучше всех на свете понимает собак. Он разговаривает с ними, как будто они - его равные, а они, в свою очередь, готовы выполнять любые его задания. Это могут быть самые разные задачи - от кражи до пугания людей, и даже приготовления блинчиков. Но Догмен - это не типичный супергерой, которого вы можете видеть на обложках комиксов. Он не носит костюмов, не летает и не стреляет лазерами из глаз. Его не волнуют проблемы людей, он не стремится спасти мир или защитить невинных. Для него важно лишь одно - чтобы его стая была довольна и счастлива.Однако, несмотря на все это, Догмен - единственный, кто способен командовать ""взять"", когда город оказывается под угрозой. Когда влиятельный наркобарон начинает захватывать город, только Догмен и его верная стая могут противостоять ему. Он использует свои уникальные способности и связь с собаками, чтобы бороться с преступностью и защитить свой город. Он становится неожиданным героем, который, несмотря на свое отчуждение от людей, все равно оказывается в центре событий.",Фильмы, Боевик,2023,"Калеб Лэндри Джонс, Джоджо Т. Гиббс, Кристофер Денэм, Клеменс Шик, Джон Чарльз Агилар, Грэйс Пальма, Ирис Бри, Мариза Беренсон, Lincoln Powell, Alexander Settineri",Люк Бессон,6.8,7.1
https://kinogo.uk/8862-vozdushnoe-ograblenie-2024.html,kinogo.uk//uploads/mini/full/6c/fcde53d7ffc8d52b2183e08d6475f6.jpg,Воздушное ограбление,"В центре нашего внимания - человек, которого можно с полным основанием назвать авантюристом. Это не тот, кто выбирает безопасный и заранее проторенный путь. Нет, это тот, кто бросает вызов самому себе, тот, кто постоянно ищет новые приключения и новые испытания. И вот, перед нами его новый план, который может стать самой безумной аферой в его жизни. Он решил ограбить рейс Боинг-777, который следует из Лондона в Цюрих. Но это не просто рейс, и это не просто ограбление. Этот самолет перевозит 500 миллионов долларов в золотых слитках. Это невероятная сумма, которую не каждый рискнет даже попытаться украсть. Но наш герой - не из тех, кто испугается трудностей.Он уже начал разрабатывать свой план, который включает в себя множество этапов и требует невероятной точности и координации. Он знает, что ему предстоит преодолеть множество препятствий, от систем безопасности самолета до охранников и пассажиров на борту. Но он готов к этому, ведь в его жилах течет кровь настоящего авантюриста. Он знает, что это будет непросто, и что шансы на успех невелики. Но он также знает, что если ему удастся осуществить этот план, то это станет самым значительным достижением в его жизни. Это будет афера, о которой будут говорить все, а его имя станет легендой.",Фильмы," Боевик , Драма , Комедия , Криминал , Триллер",2024,"Кевин Харт, Гугу Эмбата-Ро, Сэм Уортингтон, Винсент Д'Онофрио, Урсула Корберо, Билли Магнуссен, Yun Jee Kim, Вивеик Калра, Жан Рено, Джейкоб Баталон",Ф. Гэри Грей,5.4,5.7
https://kinogo.uk/6511-pchelovod-2024.html,kinogo.uk//uploads/mini/full/aa/0620725bef4b7abff2d054a4ee6de5.jpg,Пчеловод,"Вы ищете захватывающий, напряженный фильм, который отправит вас в увлекательное путешествие? Фильм ""Пчеловод"" - идеальный выбор! Адам Клей - отставной правительственный агент, работавший на могущественную организацию ""Пасечник"". Когда добрая женщина, за которой он присматривает, становится жертвой опасного мошенничества, он начинает неустанно и безжалостно добиваться, чтобы преступники были привлечены к ответственности. Фильм с захватывающими боевыми сценами, интересными персонажами и эмоционально насыщенной сюжетной линией обещает многочасовое развлечение, которое не скоро забудется. Фильм Пчеловод - когда справедливость и месть сталкиваются!",Фильмы," Боевик , Триллер",2024,"Джейсон Стэйтем, Джош Хатчерсон, Джереми Айронс, Эмми Рэвер-Лэмпман, Энцо Чиленти, Тейлор Джеймс, Ли Дань, Адам Бейзил, Реза Диако, Бобби Надери",Дэвид Эйр,6.4,6.1
https://kinogo.uk/6178-mjatezhnaja-luna-2023.html,kinogo.uk//uploads/mini/full/73/8b775b5f345f927c4a7b35a4896712.jpg,Мятежная Луна,"Вы ищете захватывающее и захватывающее приключение? Представляем вам ""Мятежную Луну""! Судьба мирной колонии находится в ваших руках, ведь вы возглавите их борьбу против деспотичного правления тирана Беласириуса. Возьмите на себя роль отважной молодой женщины, решительно настроенной найти союзников и восстановить мир. Исследуйте незнакомые планеты и принимайте сложные решения, путешествуя по космосу и отбиваясь от врагов по пути. Не упустите шанс отправиться в захватывающее путешествие, наполненное захватывающим действием и неожиданными поворотами! Восстаньте против статус-кво вместе с мятежной Луной - загрузите игру прямо сейчас, чтобы начать свою межгалактическую борьбу!",Фильмы," Боевик , Драма , Приключения , Фантастика",2023,"София Бутелла, Чарли Ханнэм, Энтони Хопкинс, Кэри Элвес, Джена Мэлоун, Эд Скрейн, Джимон Хонсу, Михил Хёйсман, Кори Столл, Клеопатра Коулмэн",Зак Снайдер,5.8,5.7
